,clean_message,intent
888,Where is located the tourist information desk in the city ?,Default Fallback Intent
889,office of tourism ?,Default Fallback Intent
890,where can i buy bus tickets ?,Default Fallback Intent
891,are you alive ???,Default Fallback Intent
892,ok you know what?,abandon
893,diner with my wife tonight,find.restaurant
894,no places on the french riviera it amazing,find.restaurant
895,Hi,Default Welcome Intent
896,Hi,Default Welcome Intent
897,Hi,Default Welcome Intent
898,i want you to look for category hotels,find.accommodation
899,nice,find.accommodation
900,i'd like to find activities to do on the sea,find.activity
901,what ?,find.activity
902,you first ask me a question and then tell me that you didn't find without leaving me time to answer ........,find.alternatives
903,Find events in biot today,find.event
904,in cannes,find.alternatives
905,in grasse,find.alternatives
906,in nice,find.alternatives
907,find all activity in nice,find.activity
908,in cannes,find.alternatives
909,what can i do in st tropez,find.alternatives
910,restaurants in NICE,find.alternatives
911,what can i do in valbonne,find.alternatives
912,events in valbonne,find.alternatives
913,what can i do in valbonne,find.alternatives
914,activity in valbonne,find.activity
915,what can i do in grasse,find.alternatives
916,activity in grasse,find.activity
917,sports activity in grass,find.activity
918,grasse,find.activity
919,water sports in st tropez,find.event
920,today,find.event
921,cannes,find.alternatives
922,museums in grasse,find.poi
923,cafe in grasse,find.alternatives
924,i want to reach the port,Default Fallback Intent
925,restaurants in grasse,find.alternatives
926,cafe in antibes,find.alternatives
927,restaurants in antibes,find.alternatives
928,opening hours of chagal museum,find.poi
929,nice,find.poi
930,rent a car,Default Fallback Intent
931,boat trip,Default Fallback Intent
932,boat trip,Default Fallback Intent
933,best scuba diving places,find.activity
934,snorkling,find.activity
935,Aquaparks,find.activity
936,best parks,find.poi
937,NICE,find.poi
938,private beaches,find.poi
939,Antibes,find.poi
940,Hi,Default Welcome Intent
941,restaurants in Grasse,find.restaurant
942,i need a guide,Default Fallback Intent
943,stop,find.restaurant
944,restaurants in Grasse,find.restaurant
945,i need help,Default Fallback Intent
946,Grasse,find.restaurant
947,where is Cannes,find.alternatives
948,any local restaurants where ta have diner in Grasse ? ,find.restaurant
949,cafe in nice,find.restaurant
950,NICE,find.restaurant
951,cafe in antibes,find.alternatives
952,cafe in grasse,find.alternatives
953,and what about asian restaurants in Cannes ?,find.restaurant
954,in Nice then ? ,find.alternatives
955,hotels in grasse,find.accommodation
956,find me restaurants in Cannes,find.restaurant
957,place to stay in antibes,find.alternatives
958,find stuff,Default Fallback Intent
959,Nice,Default Fallback Intent
960,Hi,Default Welcome Intent
961,where can i eat in st traopez,find.event
962,st tropez,find.event
963,today,find.event
964,place to eat in st tropez,find.event
965,today,find.event
966,more,Default Fallback Intent
967,find me restaurants in Cannes,find.restaurant
968,more,find.more
969,I would like to have diner with my wife and kids in an asian restaurant in Nice,find.restaurant
970,what is happening in nice today,find.alternatives
971,ok let's find a pizza restaurant in Nice then,find.restaurant
972,I want to do activity in nice,find.activity
973,what about in Antibes ?,find.alternatives
974,great and before I would like to take a drink in a Bar,find.restaurant
975,Antibes,find.restaurant
976,and after we would like to dance in a club in Cannes if possible,find.alternatives
977,show activities in Nice,find.activity
978,Hi,Default Welcome Intent
979,yes can you talk me about museum ?,find.poi
980,Cannes,find.poi
981,okay maybe you can find museum in south of france ?,find.poi
982,nice,find.poi
983,okay nice thanks,find.alternatives
984,tell me something about you,Default Fallback Intent
985,why sky is blue ?,Default Fallback Intent
986,no problem,Default Fallback Intent
987,don't worry no preblem,Default Fallback Intent
988, are there any concerts planned,find.event
989,Antibes,find.event
990,8 august,find.event
991,what can i do in Antibes ?,find.alternatives
992,what can i do ?,Default Fallback Intent
993,yes,Default Fallback Intent
994,tell me what can i do,Default Fallback Intent
995,no,Default Fallback Intent
996,nope,Default Fallback Intent
997,okay,Default Fallback Intent
998,stop,abandon
999,find activities,find.activity
1000,Antibes,find.activity
1001,,Default Welcome Intent
1002,,Default Welcome Intent
1003,,Default Welcome Intent
1004,,Default Welcome Intent
1005,,Default Welcome Intent
1006,,Default Welcome Intent
1007,,Default Welcome Intent
1008,,Default Welcome Intent
1009,,Default Welcome Intent
1010,,Default Welcome Intent
1011,,Default Welcome Intent
1012,,Default Welcome Intent
1013,,Default Welcome Intent
1014,,Default Welcome Intent
1015,,Default Welcome Intent
1016,,Default Welcome Intent
1017,,Default Welcome Intent
1018,,Default Welcome Intent
1019,,Default Welcome Intent
1020,ind me a halal restauran,find.restaurant
1021,ic,find.restaurant
1022,ind me a casher restauran,find.restaurant
1023,his evening in nic,find.alternatives
1024,nywhere you hav,find.restaurant
1025,he weather display is boring ..,find.more
1026,ind me a snack nearby modern art museum in nic,find.poi
1027,an you ON TIME find me something useful ,Default Fallback Intent
1028,an you ON TIME find me something useful ,Default Fallback Intent
1029,ou're a sily chatbo,abandon
1030,ou're a sily chatbo,abandon
1031,here is the tourist office of canes-sur-mer ,Default Fallback Intent
1032,here is the tourist office of canes-sur-mer ,Default Fallback Intent
1033,here is located the tourist office of cagnes-sur-Mer ,find.alternatives
1034, don't care about restaurants ,find.restaurant
1035,rrr,find.restaurant
1036,to,find.restaurant
1037,to,find.restaurant
1038,here is located the tourist office of cagnes-sur-Mer ,find.alternatives
1039,to,abandon
1040,to,abandon
1041,hat to visit in Antibe,find.alternatives
1042,hat to do in Antibes ,find.alternatives
1043,hat are the museums of Nic,find.poi
1044,hat to do in nice when it rains ,find.alternatives
1045,hat to do in nice in 4 hours tim,find.alternatives
1046,here is bendejun ,find.alternatives
1047,ow to go to blausasc ,find.alternatives
1048,here is the central bus station of cannes ,find.alternatives
1049,o you know villefranche-sur-mer ,find.alternatives
1050,how me aspremon,find.alternatives
1051,here to practice scuba diving ,find.activity
1052,here to practice golf ,find.activity
1053,hat is the phone number of restaurant la petite maison in nic,find.restaurant
1054,hen Valberg will be open for skiing ,find.activity
1055,ow to go to villefranche-sur-mer ,Default Fallback Intent
1056,ow to go to villefranche-sur-mer ,Default Fallback Intent
1057,u bu,Default Fallback Intent
1058,u bu,Default Fallback Intent
1059,y bu,Default Fallback Intent
1060,y bu,Default Fallback Intent
1061,hat to do by foot in 3 hours time in nice ,find.activity
1062,ow much time does it take to go from nice airport to downtow,find.activity
1063,ive me sightseeing tours in monac,find.activity
1064,ow cost nice airport transfert to downtow,find.alternatives
1065,hat to do in juan-les-pins this evenin,find.alternatives
1066,ans,Default Fallback Intent
1067,ans,Default Fallback Intent
1068,here to danse in juan-les-pins ,find.alternatives
1069,lubbing in Jean-les-pin,Default Fallback Intent
1070,lubbing in Jean-les-pin,Default Fallback Intent
1071,lubbing in juan-les-pin,find.alternatives
1072,here is the mama,Default Fallback Intent
1073,here is the mama,Default Fallback Intent
1074,ama,Default Fallback Intent
1075,ama,Default Fallback Intent
1076,atisse museum ,find.poi
1077,ic,find.poi
1078,here is galerie des ponchettes in nice ,find.alternatives
1079,how me the places to dans,Default Fallback Intent
1080,how me the places to dans,Default Fallback Intent
1081,how me what to do this evening in nic,find.activity
1082,ell me what to do this night in nic,find.activity
1083,s the any modern art museum in nice ,find.poi
1084,s there any modern art museum in nice ,find.poi
1085,s there any museum in villefranche-sur-mer ,find.poi
1086,ist me the restaurants of villefranche-sur-me,find.restaurant
1087, told yo,find.restaurant
1088,illefranche-sur-me,find.restaurant
1089,useum,find.poi
1090,illefranche-sur-me,find.poi
1091,t is not raining in villefranche-sur-me,find.alternatives
1092,how me places to visit in Ando,find.alternatives
1093,anne,find.alternatives
1094,n canne,find.alternatives
1095,eaulieu-sur-me,find.alternatives
1096,how me the places to visit in Monac,find.alternatives
1097,how me the places to visit in canne,find.alternatives
1098,how me the places to visit in beaulie,find.more
1099,to,abandon
1100,to,abandon
1101,how me the places to visit in villefranche-sur-me,find.alternatives
1102,hat to visit in villefranche-sur-me,find.alternatives
1103,lateau de caussol,Default Fallback Intent
1104,lateau de caussol,Default Fallback Intent
1105,argemo,Default Fallback Intent
1106,argemo,Default Fallback Intent
1107,argemo,find.alternatives
1108,here practice sports in la croix-flamer ,find.event
1109,a roquette-sur-siagn,find.event
1110,oda,find.event
1111,,Default Welcome Intent
1112,,Default Welcome Intent
1113,,Default Welcome Intent
1114,,Default Welcome Intent
1115,i what can you do,Default Fallback Intent
1116,i what can you do,Default Fallback Intent
1117,eather,Default Fallback Intent
1118,eather,Default Fallback Intent
1119,,Default Welcome Intent
1120,,Default Welcome Intent
1121,ind some concert in Nice this weeken,find.event
1122,ind a hotel near m,find.accommodation
1123,i minotou,Default Welcome Intent
1124,i minotou,Default Welcome Intent
1125, want to find bike locatio,Default Fallback Intent
1126, want to find bike locatio,Default Fallback Intent
1127,ike locatio,Default Fallback Intent
1128,ike locatio,Default Fallback Intent
1129,ik,Default Fallback Intent
1130,ik,Default Fallback Intent
1131,rave,Default Fallback Intent
1132,rave,Default Fallback Intent
1133,inem,find.event
1134,ic,find.event
1135,omorro,find.event
1136,ell me the weather in Canne,weather
1137,hat time is it ,Default Fallback Intent
1138,hat time is it ,Default Fallback Intent
1139,hat time is it ,Default Fallback Intent
1140,hat time is it ,Default Fallback Intent
1141,o sorr,Default Fallback Intent
1142,o sorr,Default Fallback Intent
1143,ka,Default Fallback Intent
1144,ka,Default Fallback Intent
1145,,Default Welcome Intent
1146,,Default Welcome Intent
1147,inotour ,Default Fallback Intent
1148,inotour ,Default Fallback Intent
1149,our nam,Default Fallback Intent
1150,our nam,Default Fallback Intent
1151,i minotou,Default Welcome Intent
1152,i minotou,Default Welcome Intent
1153, want to do spor,find.event
1154,anne,find.event
1155,omorro,find.event
1156, want to eat some foo,find.event
1157,oulo,find.event
1158,anne,find.event
1159,n two day,find.event
1160,here can i eat ice ,find.event
1161,ntibe,find.event
1162,omorro,find.event
1163,here can i find a restaurent ,Default Fallback Intent
1164,here can i find a restaurent ,Default Fallback Intent
1165,here can i find restaurant ,find.restaurant
1166,ntibe,find.restaurant
1167,'m bac,abandon
1168,'m bac,abandon
1169, don't know where is the cinema in Canne,find.event
1170,omorro,find.event
1171,,Default Welcome Intent
1172,,Default Welcome Intent
1173,,Default Welcome Intent
1174,,Default Welcome Intent
1175,ind hotels in antibe,find.accommodation
1176,,Default Welcome Intent
1177,,Default Welcome Intent
1178,ind events in nic,find.event
1179,oda,find.event
1180,ind activity in NIC,find.activity
1181,,Default Welcome Intent
1182,,Default Welcome Intent
1183,ind some hotel in cannes this weeken,find.event
1184,hat can i do in canne,weather
1185,,Default Welcome Intent
1186,,Default Welcome Intent
1187,hat can i do in canne,weather
1188,,Default Welcome Intent
1189,,Default Welcome Intent
1190,how me all the events in canne,find.event
1191,his mont,find.event
1192,how mor,find.more
1193,ome mor,find.more
1194,n NIC,find.alternatives
1195,how mor,find.more
1196,nything els,find.more
1197,ctivity in canne,find.activity
1198,useum in st trope,find.poi
1199,n bio,find.alternatives
1200,n valbonn,find.alternatives
1201,n antibe,find.alternatives
1202,hank you,leave.positive
1203,hank you,leave.positive
1204,y,leave.positive
1205,y,leave.positive
1206,hat can i do in nice this decembe,find.alternatives
1207,ny activity in nic,find.activity
1208,how activity for kids in nic,find.activity
1209,,Default Welcome Intent
1210,,Default Welcome Intent
1211,el,Default Fallback Intent
1212,el,Default Fallback Intent
1213,an you help me ,Default Fallback Intent
1214,an you help me ,Default Fallback Intent
1215,oncer,find.event
1216,ic,find.event
1217,,Default Welcome Intent
1218,,Default Welcome Intent
1219,ext wee,find.event
1220,,Default Welcome Intent
1221,,Default Welcome Intent
1222,hat do you suggest me to do in NIC,Default Fallback Intent
1223,hi,Default Welcome Intent
1224,hey i'm back,Default Fallback Intent
1225,stop,abandon
1226,Hi,Default Welcome Intent
1227,Hi,Default Welcome Intent
1228,check for events in biot,find.event
1229,check for events in biot for today,find.event
1230,in st tropez,find.alternatives
1231,in antibes,find.alternatives
1232,in cannes,find.alternatives
1233,events for kinds,find.event
1234,events for kids,find.event
1235,nice,find.event
1236,this month,find.event
1237,Hi,Default Welcome Intent
1238,football,find.event
1239,Nice,find.event
1240,this month,find.event
1241,opera,Default Fallback Intent
1242,Where can I go to the opera?,Default Fallback Intent
1243,concert,find.event
1244,Nice,find.event
1245,August,find.event
1246,Hi,Default Welcome Intent
1247,hi,Default Welcome Intent
1248,i want to have lunch,find.restaurant
1249,nice,find.restaurant
1250,i want to go dancing tonight,find.alternatives
1251,Hi,Default Welcome Intent
1252,show events in Nice ,find.event
1253,next week,find.event
1254,show restaurants nearby,find.restaurant
1255,nearby,find.restaurant
1256,nearby,find.restaurant
1257,stop,abandon
1258,show restaurants nearby,find.restaurant
1259,nearby,find.restaurant
1260,Hi,Default Welcome Intent
1261,Hi,Default Welcome Intent
1262,Hi,Default Welcome Intent
1263,look for events in nice for this weekend,find.event
1264,and in cannes,find.alternatives
1265,next month,find.alternatives
1266,in st tropez,find.alternatives
1267,cafe in st tropez,find.restaurant
1268,in antibes,find.alternatives
1269,in biot,find.alternatives
1270,find activity in valbone,find.activity
1271,valbonne,find.activity
1272,in nice,find.alternatives
1273,in grasse,find.alternatives
1274,what can kids do in nice,find.alternatives
1275,find kids activity in nice,find.activity
1276,looking for an accommodation in nice,find.accommodation
1277,in cannes,find.alternatives
1278,i need to go shopping in nice,find.alternatives
1279,shopping in nice,find.alternatives
1280,shopping in cannes,find.alternatives
1281,events in biot on 25th august,find.event
1282,what can i do in st tropez,find.alternatives
1283,show more ,find.more
1284,anything to do in nice,find.alternatives
1285,what is happening in nice today,find.alternatives
1286,show more,find.more
1287,more,find.more
1288,show me museums in St tropez,find.poi
1289,in biot,find.alternatives
1290,golf clubs in biot,find.alternatives
1291,find golf club in nice,find.alternatives
1292,im bored,abandon
1293,Hi,Default Welcome Intent
1294,Hello,Default Welcome Intent
1295,I would like to have dinner in Nice,find.restaurant
1296,Could you suggest an activity in Nice?,find.activity
1297,Lunch in Paris,find.restaurant
1298,You're an idiot,Default Fallback Intent
1299,shut up,insult
1300,Idiot,insult
1301,fuck off,insult
1302,Are there any parks nearby,find.poi
1303,Are there any parks nearby,find.poi
1304,Football court in Nce,find.event
1305,Nice,find.event
1306,today,find.event
1307,Hi,Default Welcome Intent
1308,Hi,Default Welcome Intent
1309,Hi,Default Welcome Intent
1310,Hi,Default Welcome Intent
1311,Hi,Default Welcome Intent
1312,discover Nice,discover.city
1313,Hi,Default Welcome Intent
1314,hi,Default Welcome Intent
1315,hi,Default Welcome Intent
1316,find events in nice,find.event
1317,today,find.event
1318,cafe in nice,find.alternatives
1319,find cafe in nice,find.restaurant
1320,find coffee shops in cannes,find.restaurant
1321,find restaurants in NICE,find.restaurant
1322,in cannes,find.alternatives
1323,antibes,find.alternatives
1324,find events in cannes,find.event
1325,this weekend,find.event
1326,find accommodation in NICE this weekend,find.alternatives
1327,place to stay in nice,find.alternatives
1328,ok thanks a lot nice to talk to you,leave.positive
1329,hi,Default Welcome Intent
1330,Hi,Default Welcome Intent
1331,hi,Default Welcome Intent
1332,show me events in Cannes this week,find.event
1333,cafes,find.restaurant
1334,cannes,find.restaurant
1335,show me place to stay in NICE,find.alternatives
1336,show me museums in NICE ,find.poi
1337,show me museums in Antibes,find.poi
1338,events in grasse,find.alternatives
1339,show me events in St tropez for this month,find.event
1340,Hi,Default Welcome Intent
1341,Hi,Default Welcome Intent
1342,hi i'm looking for an hotel nearby,find.accommodation
1343,check for activities ,find.activity
1344,nice,find.activity
1345,museums in nice,find.poi
1346,Hi,Default Welcome Intent
1347,Hi,Default Welcome Intent
1348,Hi,Default Welcome Intent
1349,skiing in valberg,find.activity
1350,valberg,find.activity
1351,Cannes,find.activity
1352,can you give me a vegetarian restaurant,find.restaurant
1353,nice,find.restaurant
1354,give me a 4* hotel  nearby railway station,find.alternatives
1355,Is MAMAC museum in Nice open on sunday ?,find.poi
1356,what is the temperature in valberg tomorrow,find.alternatives
1357,what will be the temperature in valberg tomorrow,find.alternatives
1358,give me the list of art galeries in Nice,find.activity
1359,what to do tomorrow in antibes ?,find.alternatives
1360,what to do tomorrow morning in antibes ?,find.alternatives
1361,where to rent a motorcycle in Nice ?,find.alternatives
1362,how visit grasse ?,find.alternatives
1363,how visit grasse ?,find.alternatives
1364,how to visit grasse ?,find.alternatives
0,Hi,Default Welcome Intent
1,hello,Default Welcome Intent
2,Restaurants ,find.restaurant
3,Nice,find.address
4,Restaurants in Nice,find.restaurant
5,Hi,Default Welcome Intent
6,Hi hw can you help me ?,find.generic
7,yes,Default Fallback Intent
8,ok can you show me events around Nice please ? ,find.event
9,tomorrow,find.event
10,reboot,abandon
11,i would like musical events located in Cannes,find.event
12,hmm this weekend ? ,find.event
13,this month,find.alternatives
14,this year,find.alternatives
15,ok let's display cultural events then,find.event
16,Cannes,find.event
17,this month,find.event
18,check music events in Nice this year,find.event
19,check for cultural activities in Cannes,find.activity
20,check for hotels around me,find.accommodation
21,check for hotels around me,find.accommodation
22,check for hotels in Antibes,find.accommodation
23,check for hotels in Antibes,find.accommodation
24,reboot,abandon
25,check for hotels around me,find.accommodation
26,check for hotels around me,find.accommodation
27,show me entertainment activities ,find.activity
28,Nice,find.address
29,i would like to eat in an asian restaurant,find.restaurant
30,Nice,find.address
31,reset,abandon
32,I would like to eat in an asian restaurant,find.restaurant
33,nice,find.address
34,show me asian restaurant in Nice,find.restaurant
35,show me restaurant in Nice,find.restaurant
36,show me italian restaurant in Nice ,find.restaurant
37,where can i eat in St Tropez ? ,find.restaurant
38,this is great is there any activities to do in St Tropez after our meal ? ,find.activity
39,ok thank you ! maybe there is an an event to see after this ? ,find.event
40,St Tropez,find.event
41,next week,find.event
42,show me events in St Tropez this year,find.event
43,Hi ! I would like to do great outdoor activities in Nice could you advice ? ,find.activity
44,great after this i would love to eat in an italien restaurant in Nice,find.restaurant
45,Thank you ! and is there any event this evening ?,find.event
46,Nice,find.address
47,is there any events this evening in Nice ? ,find.event
48,what is your name ? ,Default Fallback Intent
49,tell me a joke,Default Fallback Intent
50,show me hotels in Nice,find.accommodation
51,show me hotels in Nice,find.accommodation
52,"Also i would like a better hotel than mine, could you show me other hotels in Nice? ",find.accommodation
53,"Also i would like a better hotel than mine, could you show me other hotels in Nice? ",find.accommodation
54,Hi,Default Welcome Intent
55,Hi,Default Welcome Intent
56,Hi ! I would like to do great outdoor activities in Nice could you advice ple,find.activity
57,and in St Tropez ? ,find.alternatives
58,And in Cannes ?,find.alternatives
59,great after this i would love to eat in an italian restaurant in Nice,find.restaurant
60,Hi,Default Welcome Intent
61,find events around me for tomorrow,find.event
62,what about next week,Default Fallback Intent
63,find events for next week around me,find.event
64,find activities in Nice tomorrow,find.activity
65,reboot,abandon
66,Hi could you show me events around me this month ? ,find.event
67,show me events near Nice,find.event
68,this week,find.event
69,could you show me music events this year ?,find.event
70,Nice,find.event
71,could you show me music events in Nice this year ? ,find.event
72,could you show me restaurant ?,find.restaurant
73,Nice,find.restaurant
74,show me activities in Nice,find.activity
75,show me events in Nice this month,find.event
76,show me events on next sunday,find.event
77,Nice,find.event
78,show me events on next wednesday,find.event
79,Nice,find.event
80,more,find.more
81,more,find.more
82,show me events next saturday in Nice,find.event
83,show me events on sunday in Nice,find.event
84,more,find.more
85,Hi,Default Welcome Intent
86,Hi Minotour ! ,Default Welcome Intent
87,how can you help me ? ,find.generic
88,I would like to do great outdoor activities in Nice could you advice please ? ,find.activity
89,and in St Tropez ? ,find.alternatives
90,great after this I would love to eat in an Italian restaurant in Nice,find.restaurant
91,great after this i would love to eat in an italien restaurant in Nice,find.restaurant
92,Thank you ! And is there any events this evening in Cannes ?,find.event
93,"Also i would like a better hotel than mine, could you show me other hotels in Nice?",find.accommodation
94,Thank you ! And is there any events this evening in Nice ?,find.event
95,and tomorrow evening ?,find.alternatives
96,and tomorrow evening in Cannes ?,find.alternatives
97,and in St Tropez ? ,find.alternatives
98,Hi,Default Welcome Intent
99,Hi,Default Welcome Intent
100,Hi ,Default Welcome Intent
101,Hi,Default Welcome Intent
102,Hi ! I would like to do great outdoors activities in Nice could you give me advices please ? ,find.activity
103,and in St Tropez ? ,find.alternatives
104,And in Cannes ? ,find.alternatives
105,Great ! after this i Would love to eat in an italian restaurant in Nice,find.restaurant
106,great after this i would love to eat in an italien restaurant in Nice,find.restaurant
107,great after this i would love to eat in an italian restaurant in Nice,find.restaurant
108,great after this i would love to eat in a romantic restaurant in Nice,find.restaurant
109,great after this i would love to eat in a french restaurant in Nice,find.restaurant
110,great after this i would love to eat in an asian restaurant in Nice,find.restaurant
111,great after this i would love to eat in a mexican restaurant in Nice,find.restaurant
112,great after this i would love to eat in a good restaurant in Nice,find.restaurant
113,Hi,Default Welcome Intent
114,Hi ! I would like to do great outdoors activities in Nice,find.activity
115,and in St Tropez ? ,find.alternatives
116,and in Cannes ? ,find.alternatives
117,great ! after this i would like to eat in a good restaurant in Nice,find.restaurant
118,Thak you ! and is there any events this evening in Nice ? ,find.event
119,and tomorrow evening in Cannes ? ,find.alternatives
120,"Also I would like a better hotel than mine, could you show me other hotels in Nice ? ",find.accommodation
121,Hi,Default Welcome Intent
122,Hi ! I would like to do great outdoors activities in Nice,find.activity
123,and in St Tropez ? ,find.alternatives
124,Hi,Default Welcome Intent
125,Hi ! I would like to do great outdoor activities in Nice,find.activity
126,and in St Tropez ? ,find.alternatives
127,and In Cannes ?,find.alternatives
128,great after this i would like to eat in a good restaurant in Nice,find.restaurant
129,Thank you ! and is there any event this evening in Nice ? ,find.event
130,more,find.more
131,and tomorrow evening in Cannes ? ,find.alternatives
132,"Also I would like a better hotel than mine, could you show me other hotels in Nice ?",find.accommodation
133,Nice,
134,show me vets in Neath,
135,today,
136,can you give me a conversations nearby,
137,give me vent in nice night,
138,today,
139,Hi,Default Welcome Intent
140,show me events in Nice next week,find.event
141,tonight,
142,Hi,Default Welcome Intent
143,show events in Nice for tomorrow,find.event
144,Hi,Default Welcome Intent
145,find events in Nice for Wednesday 9 January 2019,find.event
146,find music events in 2019,find.event
147,Nice,find.event
148, find music events in Nice for 2019,find.event
149,find music events in Nice for 2019,find.event
150,Hi,Default Welcome Intent
151,music events in Nice this month,find.event
152,show me mussical events in Cannes this month,find.event
153,could you show me concerts in Cannes this month,find.event
154,music festivals in Nice this month,find.event
155,Hi,Default Welcome Intent
156,Hi ! I would like to do great outdoor activities in Nice today?,find.activity
157,and in ST Tropez ?,find.alternatives
158,And in Cannes? ,find.alternatives
159,Great ! after this i would like to eat in a good restaurant in Nice,find.restaurant
160,Thank you ! And is there any musical events this evening in Nice ? ,find.event
161,Thank you ! And is there any musical events this week-end in Nice ?,find.event
162,this weekend,find.event
163,and tomorrow evening in Cannes ?,find.alternatives
164,also I would like a better hotel than mine could you show me other hotels in Nice ? ,find.accommodation
165,Hi I would like to do outdoors activities in Nice today,find.activity
166,and in St Tropez ?,find.alternatives
167,and in Cannes ?,find.alternatives
168,Great ! after this i would like to eat in a good restaurant in Nice,find.restaurant
169,Thak you ! and is there any musicl events in Nice this weekend ?,find.event
170,Hi,Default Welcome Intent
171,Hi,Default Welcome Intent
172,Hi ! I would like to do outdoor activities in Nice today,find.activity
173,Hi,Default Welcome Intent
174,Hi ! I would like to do outdoor activities in Nice today,find.activity
175,and in Cannes ?,find.alternatives
176,and in St Tropez ?,find.alternatives
177,Great ! after this I would like to eat in a good restaurant in Nice,find.restaurant
178,Thank you ! and are there any musical events in Nice this weekend ? ,find.event
179,and tomorrow in Cannes ?,find.alternatives
180,"Also I would like a better hotel than mine, could you show me other hotels in Nice please ? ",find.accommodation
181,Hi,Default Welcome Intent
182,I would like to see great events ,find.event
183,Cannes,find.event
184,Hi,Default Welcome Intent
185,Is the road open to go to auron station ? ,access_to_auron_station
186,how many slopes are opened ? ,slopes
187,great can you check events in Auron ? ,find.event
188,Tonight ! ,find.event
189,this month,find.alternatives
190,Hi,Default Welcome Intent
191,Hi ! Is the road to Auron open ? ,access_to_auron_station
192,Great ! and how many slopes are availables?,slopes
193,and what is the weather today ? ,weather
194,show me the direction from Nice to Auron please,itinerary_to_auron_station
195,do i need chains for wheels to go to Auron ? ,special_equipments
196,what are the packages offered in Auron station ? ,tariffs_and_package
197,how many lifts are open ? ,ski_lifts_ski_area
198,How is the snow at the Auron station?,state_of_snow
199,Hi,Default Welcome Intent
200,Hi Minotour ! Is the road to auron open?,access_to_auron_station
201,Great! how many slopes are availables ?,slopes
202,Thank you! and how many lifts are open please?,ski_lifts_ski_area
203,And how is the snow at the Auron station?,state_of_snow
204,Hi,Default Welcome Intent
205,Hi,Default Welcome Intent
206,Hi,Default Welcome Intent
207,hello,Default Welcome Intent
208,I want activities,find.activity
209,Hello zakaria ,Default Welcome Intent
210,I want activities,find.activity
211,nice,find.activity
212,Nice,find.activity
213,I am muslim,leave.negative
214,I don't drink,Default Fallback Intent
215,Makanchrabchi,Default Fallback Intent
216,Hi,Default Welcome Intent
217,Hi,Default Welcome Intent
218,Hi,Default Welcome Intent
219,Hi,Default Welcome Intent
220,wha are the events in Nice ?,find.event
221,this week,find.event
222,and in Cannes ?,find.alternatives
223,thank you !! and what about hotels around me,find.accommodation
224,Hi,Default Welcome Intent
225,I would like to know events in Nice,find.event
226,tomorrow,find.event
227,and in Cannes ?,find.alternatives
228,Hi,Default Welcome Intent
229,Hi ,Default Welcome Intent
230,I would like events around me,find.event
231,today,find.event
232,bike rental in cannes,find.activity
233,Hi,Default Welcome Intent
234,how is the road to Auron station?,access_to_auron_station
235,find tariffs of Auron station,tariffs_and_package
236,show slopes in Auron station,slopes
237,is there snow in Auron station,state_of_snow
238,hi,Default Welcome Intent
239,hi,Default Welcome Intent
240,auron,find.address
241,etat des routes sur auron,access_to_auron_station
242,les pistes sont ouvertes,Default Fallback Intent
243,tes con,find.restaurant
244,tu es trop con,find.restaurant
245,les pîstes de ski,find.activity
246,mofjhemfijhn,find.activity
247,reset,find.activity
248,reboot,find.activity
249,nice,find.activity
250,les pistes d'aurin sont ouvertes,find.restaurant
251,pas nice auron,find.alternatives
252,est ce que les pistes sont ouvertes a auron,find.alternatives
253,auron,find.alternatives
254,les pistes a auron,find.alternatives
255,quoi ???,abandon
256,je veux aller a auron,find.alternatives
257,auron,find.alternatives
258,et dieu troncy tu connais,find.alternatives
259,et donc cela fonctionne ??????,Default Fallback Intent
260,je veux aller a auron,find.alternatives
261,et paris,Default Fallback Intent
262,jhiljbfzijbfp fhpeuihfiuzjhbfz,Default Fallback Intent
263,test en ligne,Default Fallback Intent
264,pourquoi pas aller a auron,find.alternatives
265,auron,find.alternatives
266,je souhaite aller a auron,find.alternatives
267,aller a auron,find.alternatives
268,meteo auron,find.alternatives
269,comment aller a auron ?,find.alternatives
270,auron,find.alternatives
271,i want to go to auron,find.alternatives
272,moi vouloir aller auron,find.alternatives
273,auribeau sur siagne,find.alternatives
274,i want to surf,Default Fallback Intent
275,yes et what do you do ?,Default Fallback Intent
276,you are so pretty,leave.negative
277,yes i want to go to auron,find.alternatives
278,you sêak english?,Default Fallback Intent
279,et donc,Default Fallback Intent
280,tu parles français,Default Fallback Intent
281,en fait tu fonctionnes pas et tu n'y comprends rien,find.alternatives
282,au top ,abandon
283,auron,find.alternatives
284,auron station ski,find.activity
285,c'est auron pas auribeau,find.alternatives
286,auron ski activites,find.alternatives
287,reset,Default Fallback Intent
288,donc ?*,Default Fallback Intent
289,feùfkjoezmifnomezijékf,Default Fallback Intent
290,Hi,Default Welcome Intent
291,Hello j want to go to auron,find.address
292,Have you some snow ,state_of_snow
293,How many tracks are open,slopes
294,J want à bedroom for 2 nights,find.accommodation
295,Auron,find.accommodation
296,Hi,Default Welcome Intent
297,what's the itinerary to Auron station?,Default Fallback Intent
298,give me the route to auron station,itinerary_to_auron_station
299,give me the route to auron station,itinerary_to_auron_station
300,what equipments do I need for auron station?,itinerary_to_auron_station
301,what equipments do I need for auron station?,itinerary_to_auron_station
302,Give me. The hôtel list,Default Fallback Intent
303,Liste of the hotels,find.accommodation
